date,close,volume,vix,rsi_14,beta,correlation_sp_vix
2023-10-20,4224.16015625,4004030000,21.709999084472656,35.36450226407743,1.0,-0.8378984408494671
2023-10-23,4217.0400390625,3776100000,20.3700008392334,34.737289962103375,1.0,-0.8282369263888035
2023-10-24,4247.68017578125,3821820000,18.969999313354492,39.694023918910574,1.0,-0.8359248581772509
2023-10-25,4186.77001953125,3869370000,20.190000534057617,34.14252961450704,1.0,-0.8349842923031076
2023-10-26,4137.22998046875,4277640000,20.68000030517578,30.41650747221098,1.0,-0.8155632164692717
2023-10-27,4117.3701171875,4019500000,21.270000457763672,29.047929602307278,1.0,-0.8109731822700039
2023-10-30,4166.81982421875,3911140000,19.75,36.686759853945425,1.0,-0.8228772733651618
2023-10-31,4193.7998046875,4249470000,18.139999389648438,40.453622008888686,1.0,-0.8292190991450665
2023-11-01,4237.85986328125,4224900000,16.8700008392334,46.09402596705364,1.0,-0.8318752124290409
2023-11-02,4317.77978515625,4669780000,15.65999984741211,54.51099876995565,1.0,-0.8066193025840044
2023-11-03,4358.33984375,4570960000,14.90999984741211,58.08774600322627,1.0,-0.8134123685131489
2023-11-06,4365.97998046875,3656340000,14.890000343322754,58.74576379917082,1.0,-0.8129060762510129
2023-11-07,4378.3798828125,3791230000,14.8100004196167,59.84758249746852,1.0,-0.791351497724068
2023-11-08,4382.77978515625,3729510000,14.449999809265137,60.253233771074925,1.0,-0.7949617720368932
2023-11-09,4347.35009765625,3900780000,15.289999961853027,55.39970544333429,1.0,-0.7987030127381154
2023-11-10,4415.240234375,3665080000,14.170000076293945,61.756759920775245,1.0,-0.8053834898576984
2023-11-13,4411.5498046875,3326240000,14.760000228881836,61.245726932945736,1.0,-0.8030033519181093
2023-11-14,4495.7001953125,4700350000,14.15999984741211,67.79072179180235,1.0,-0.7634294661894752
2023-11-15,4502.8798828125,4347170000,14.180000305175781,68.28289430206046,1.0,-0.7592992763393625
2023-11-16,4508.240234375,3964520000,14.319999694824219,68.66783968597693,1.0,-0.7601753179974607
2023-11-17,4514.02001953125,3777240000,13.800000190734863,69.10327249954878,1.0,-0.750141831675537
2023-11-20,4547.3798828125,3644790000,13.40999984741211,71.5600034816126,1.0,-0.7616155855807597
2023-11-21,4538.18994140625,3511080000,13.350000381469727,69.91084335789385,1.0,-0.7586299413838544
2023-11-22,4556.6201171875,3042810000,12.850000381469727,71.3374640001572,1.0,-0.7601248834119695
